Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date
A,Agilent Technologies Inc.,Healthcare,Medical Laboratories & Research,USA,19349.08,28.32,17.13,3.14,2.81,3.44,8.09,34.61,0.91%,24.00%,2.05,-35.80%,10.64%,2.30%,9.03%,3.30%,-12.20%,6.90%,333.26,332.63,0.30%,2.78%,85.60%,-0.05%,0.73%,1.43,6.50%,12.60%,10.20%,3.1,2.4,0.39,0.39,52.30%,16.00%,10.00%,0.36%,3.20%,1.29%,0.92%,24.86%,2.00%,1.64,0.77,1.09%,1.34%,2.10%,2.07%,3.00%,-1.64%,7.20%,-4.66%,25.44%,58.55,-0.05%,0.10%,1.7,1703.56,0.34,58.09,0.05%,339017,8/14/2014 16:30
AA,Alcoa Inc.,Basic Materials,Aluminum,USA,19915.1,,19.55,,0.88,1.71,16.83,,0.71%,,-2.21,84.80%,41.50%,-58.30%,47.72%,-3.10%,209.10%,-0.30%,1176.32,1174.79,0.20%,1.60%,68.70%,1.51%,5.45%,4.34,-6.50%,-20.40%,-9.60%,1.3,0.7,0.65,0.69,17.10%,5.70%,-10.40%,2.05%,1.50%,22.77%,40.50%,121.60%,60.32%,1.75,0.29,1.30%,1.70%,4.60%,6.57%,32.62%,-0.17%,19.83%,-0.17%,124.28%,70.96,1.06%,0.30%,2.5,14775.14,1.04,17.16,1.36%,9086659,10/8/2014 16:30
AADR,AdvisorShares WCM/BNY MlnFcsd GR ADR ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,0.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75%,2.80%,1.01%,2.67%,17.00%,4.21%,,0.24,0.36%,0.43%,2.44%,1.66%,4.06%,-1.31%,4.48%,-1.31%,17.25%,65.47,0.00%,0.64%,,6.62,0.08,39.14,0.64%,308,
AAIT,iShares MSCI All Country Asia Info Tech,Financial,Exchange Traded Fund,USA,,,,,,,,,0.81%,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,-1.31%,0.03%,1.68%,5.98%,26.18%,9.23%,,0.43,0.05%,0.92%,0.10%,-0.46%,6.19%,-3.64%,2.45%,-3.64%,24.84%,47.49,-0.66%,1.13%,,3.84,0.26,34.72,0.46%,595,
AAL,American Airlines Group Inc.,Services,Major Airlines,USA,28188.63,,5.77,,0.79,6.9,2.98,,1.02%,,-4.65,24.90%,23.25%,-6.60%,46.80%,2.40%,49.40%,76.10%,720.2,715.84,0.70%,12.05%,70.10%,20.44%,2.27%,1.33,-0.90%,27.00%,-4.60%,1,0.9,3.82,4.2,26.20%,10.40%,-1.00%,0.13%,2.62%,-8.36%,3.65%,139.39%,55.38%,,1.26,2.73%,3.10%,-0.14%,-4.12%,9.75%,-12.74%,10.56%,-13.00%,137.49%,47.91,-1.07%,0.59%,1.9,12197.75,0.72,38.95,-0.49%,5206064,7/24/2014
AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,1629.04,126.92,,,6.47,,7.96,,,0.00%,5.73,,,,,,818.80%,1206.20%,2.24,1.56,3.60%,172.06%,72.30%,-2.59%,10.73%,8.31,1.00%,-37.30%,448.00%,,,,,85.30%,70.10%,6.80%,3.74%,32.65%,-32.22%,-6.16%,126.56%,-21.80%,,34.92,3.87%,4.46%,17.48%,11.06%,-15.82%,-15.03%,52.57%,-38.79%,131.07%,64.91,-1.33%,3.13%,,20.14,0.59,740,1.75%,6972,7/22/2014 8:30
AAME,Atlantic American Corp.,Financial,Life Insurance,USA,84.08,16.24,,,0.5,0.79,3.02,8.85,0.49%,8.00%,0.25,166.70%,,49.00%,,10.70%,-84.60%,-6.70%,20.71,4.63,75.13%,-0.03%,4.90%,1.10%,0.13%,0.55,1.70%,5.40%,9.10%,,,0.39,0.39,,4.70%,3.30%,-1.46%,2.27%,11.85%,5.45%,3.57%,-0.25%,0.79,0.13,2.46%,3.74%,-2.16%,0.49%,5.34%,-7.31%,8.55%,-7.31%,25.69%,47.44,1.24%,-1.23%,,11.02,0.19,4.06,0.00%,1240,11/4/2013
AAN,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,1862.71,21.11,11.55,2.06,0.79,1.57,105.84,17.46,0.31%,6.50%,1.22,-29.80%,32.74%,8.30%,10.25%,7.00%,-64.70%,22.20%,72.31,71.9,0.50%,43.16%,0.80%,-85.43%,6.21%,5.89,4.50%,7.60%,9.60%,,,0.52,0.52,84.70%,8.80%,3.90%,1.02%,-3.38%,-23.72%,-14.08%,-3.66%,-12.26%,1.36,0.61,1.87%,2.40%,1.03%,-11.24%,-13.76%,-29.61%,4.48%,-29.61%,4.48%,38.76,0.00%,0.39%,2.4,758.26,0.75,25.86,0.39%,335544,7/25/2014 8:30
AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductor - Integrated Circuits,USA,291.31,163.92,12.81,9.37,2.86,2.6,6.92,,,0.00%,0.12,-100.00%,108.70%,37.40%,17.50%,20.20%,250.00%,128.70%,14.81,13.72,1.00%,-6.91%,63.90%,28.96%,8.17%,4.54,1.50%,3.60%,-0.30%,2.6,1.9,0,0.11,32.20%,2.30%,1.90%,0.46%,2.29%,-3.29%,-21.79%,,31.05%,,0.97,6.56%,4.60%,6.84%,-0.58%,7.49%,-14.60%,22.70%,-26.28%,127.67%,54.04,5.36%,-0.36%,1.8,247,0.74,20.65,4.98%,107737,8/12/2014 16:30
AAON,AAON Inc.,Industrial Goods,General Building Materials,USA,1016.58,26.03,16.8,1.53,3.06,5.72,22.24,44.39,0.92%,31.90%,0.71,38.80%,40.13%,7.70%,17.00%,2.80%,42.90%,1.20%,55.01,42.17,21.50%,-1.35%,57.40%,-0.81%,3.49%,8.74,17.40%,23.40%,22.60%,2.9,2.1,0,0,29.10%,18.20%,11.90%,-1.02%,-7.88%,-9.37%,-9.50%,15.07%,-12.91%,1.24,0.61,3.10%,3.24%,2.08%,-5.48%,-4.03%,-17.04%,6.39%,-17.04%,21.37%,49.12,3.23%,0.43%,2,168.2,0.73,19.16,3.68%,72464,8/7/2014
